,Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Technology,Ownership,Nameplate Capacity (MW),Plant Balance,Retirement Year,Total Cost of Electricity Excluding ADIT ($/MWh),Current Designation,Predicted Retirement Year,Profits,CF Offset,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5
127,8245,City of Hastings - (NE),60.0,Whelan Energy Center,NE,2,Conventional Steam Coal,J,248.0,,,,Other Remaining,,,,City of Hastings - (NE),0.1591,Municipal Energy Agency of NE,0.3636,Heartland Consumers Power Dist,0.3636,,,,
176,986,Aurora Energy LLC,79.0,Aurora Energy LLC Chena,AK,1,Conventional Steam Coal,S,5.0,,,,Other Remaining,,,,,,,,,,,,,
177,986,Aurora Energy LLC,79.0,Aurora Energy LLC Chena,AK,2,Conventional Steam Coal,S,2.5,,,,Other Remaining,,,,,,,,,,,,,
178,986,Aurora Energy LLC,79.0,Aurora Energy LLC Chena,AK,5,Conventional Steam Coal,S,20.0,,,,Other Remaining,,,,,,,,,,,,,
186,30151,"Tri-State G & T Assn, Inc",87.0,Escalante,NM,1,Conventional Steam Coal,S,257.0,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
228,18315,Sunflower Electric Power Corp,108.0,Holcomb,KS,1,Conventional Steam Coal,S,348.7,,,,Other Remaining,,,,,,,,,,,,,
236,803,Arizona Public Service Co,113.0,Cholla,AZ,1,Conventional Steam Coal,S,113.6,,,,Announced,,,,,,,,,,,,,
237,803,Arizona Public Service Co,113.0,Cholla,AZ,3,Conventional Steam Coal,S,312.3,,,,Announced,,,,,,,,,,,,,
238,803,Arizona Public Service Co,113.0,Cholla,AZ,4,Conventional Steam Coal,W,414.0,,,,Announced,,,,PacifiCorp,1.0,,,,,,,,
272,15474,Public Service Co of Oklahoma,127.0,Oklaunion,TX,1,Conventional Steam Coal,J,720.0,,,,,,,-26.0,Brownsville Public Utilities Board,0.1797,Oklahoma Municipal Power Authority,0.1172,Public Service Co of Oklahoma,0.1562,AEP Texas North Company,0.5469,,
273,17543,South Carolina Public Service Authority,130.0,Cross,SC,1,Conventional Steam Coal,S,590.9,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
274,17543,South Carolina Public Service Authority,130.0,Cross,SC,2,Conventional Steam Coal,S,556.2,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
275,17543,South Carolina Public Service Authority,130.0,Cross,SC,3,Conventional Steam Coal,S,591.0,,,,2025 Vulnerable,2028.0,,,,,,,,,,,,
276,17543,South Carolina Public Service Authority,130.0,Cross,SC,4,Conventional Steam Coal,S,652.0,,,,2025 Vulnerable,2028.0,,,,,,,,,,,,
277,21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),FL,1,Conventional Steam Coal,S,735.9,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
278,21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),FL,2,Conventional Steam Coal,S,735.9,,,,2025 Vulnerable,,,,,,,,,,,,,
332,796,Arizona Electric Pwr Coop Inc,160.0,Apache Station,AZ,ST2,Conventional Steam Coal,S,204.0,,,,,,,,,,,,,,,,,
333,796,Arizona Electric Pwr Coop Inc,160.0,Apache Station,AZ,ST3,Conventional Steam Coal,S,204.0,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
340,7490,Grand River Dam Authority,165.0,GREC,OK,2,Conventional Steam Coal,S,594.0,,,,Other Remaining,,,-37.0,,,,,,,,,,
388,9617,JEA,207.0,St Johns River Power Park,FL,1,Conventional Steam Coal,J,679.0,,,,,,,,Florida Power & Light Co,0.2,JEA,0.8,,,,,,
389,9617,JEA,207.0,St Johns River Power Park,FL,2,Conventional Steam Coal,J,679.0,,,37.32150517,,,,,Florida Power & Light Co,0.2,JEA,0.8,,,,,,
527,54888,NRG Texas Power LLC,298.0,Limestone,TX,1,Conventional Steam Coal,S,893.0,,,,Other Remaining,,,,,,,,,,,,,
528,54888,NRG Texas Power LLC,298.0,Limestone,TX,2,Conventional Steam Coal,S,956.8,,,,Other Remaining,,,,,,,,,,,,,
654,12384,Midwest Generations EME LLC,384.0,Joliet 29,IL,7,Conventional Steam Coal,S,660.0,,,,,,,,,,,,,,,,,
655,12384,Midwest Generations EME LLC,384.0,Joliet 29,IL,8,Conventional Steam Coal,S,660.0,,,,,,,,,,,,,,,,,
843,15466,Public Service Co of Colorado,469.0,Cherokee,CO,4,Natural Gas Steam Turbine,S,380.8,87778186.22,2027.0,59.44445077,,,,,,,,,,,,,,
847,15466,Public Service Co of Colorado,470.0,Comanche (CO),CO,1,Conventional Steam Coal,S,382.5,186090908.6,2033.0,48.81041061,Announced,,,,,,,,,,,,,
848,15466,Public Service Co of Colorado,470.0,Comanche (CO),CO,2,Conventional Steam Coal,S,396.0,158118484.4,2035.0,45.99753459,Announced,,,,,,,,,,,,,
849,15466,Public Service Co of Colorado,470.0,Comanche (CO),CO,3,Conventional Steam Coal,J,856.8,887028196.0,2070.0,53.90048567,Other Remaining,,,,Intermountain Rural Elec Assn,0.2533,Public Service Co of Colorado,0.6667,,,,,,
870,3989,City of Colorado Springs - (CO),492.0,Martin Drake,CO,6,Conventional Steam Coal,S,75.0,,,,2020 Vulnerable,2019.0,,,,,,,,,,,,
871,3989,City of Colorado Springs - (CO),492.0,Martin Drake,CO,7,Conventional Steam Coal,S,132.0,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
900,10633,City of Lamar - (CO),508.0,Lamar Plant,CO,4,Conventional Steam Coal,S,25.0,,,,,,,,,,,,,,,,,
902,10633,City of Lamar - (CO),508.0,Lamar Plant,CO,6,Conventional Steam Coal,W,18.5,,,,,,,,Arkansas River Power Authority,1.0,,,,,,,,
930,15466,Public Service Co of Colorado,525.0,Hayden,CO,1,Conventional Steam Coal,J,190.0,94800690.58,2030.0,58.13768642,2020 Vulnerable,2027.0,,,PacifiCorp,0.245,Public Service Co of Colorado,0.755,,,,,,
931,15466,Public Service Co of Colorado,525.0,Hayden,CO,2,Conventional Steam Coal,J,275.4,96592128.27,2036.0,68.22261808,2020 Vulnerable,2027.0,,,PacifiCorp,0.126,Public Service Co of Colorado,0.374,Salt River Project,0.5,,,,
932,30151,"Tri-State G & T Assn, Inc",527.0,Nucla,CO,1,Conventional Steam Coal,S,11.5,,,,Announced,,,,,,,,,,,,,
933,30151,"Tri-State G & T Assn, Inc",527.0,Nucla,CO,2,Conventional Steam Coal,S,11.5,,,,Announced,,,,,,,,,,,,,
934,30151,"Tri-State G & T Assn, Inc",527.0,Nucla,CO,3,Conventional Steam Coal,S,11.5,,,,Announced,,,,,,,,,,,,,
935,30151,"Tri-State G & T Assn, Inc",527.0,Nucla,CO,ST4,Conventional Steam Coal,S,79.3,,,,Announced,,,,,,,,,,,,,
1007,14610,Orlando Utilities Comm,564.0,Stanton Energy Center,FL,1,Conventional Steam Coal,J,464.5,,,,2020 Vulnerable,,,,Florida Municipal Power Agency,0.2663,Orlando Utilities Comm,0.6855,,,,,,
1008,14610,Orlando Utilities Comm,564.0,Stanton Energy Center,FL,2,Conventional Steam Coal,J,464.5,,,,2020 Vulnerable,,,,Florida Municipal Power Agency,0.2841,Orlando Utilities Comm,0.7159,,,,,,
1014,15452,PSEG Power Connecticut LLC,568.0,Bridgeport Station,CT,3,Conventional Steam Coal,S,400.0,,,,Announced,,,,,,,,,,,,,
1034,9332,Indian River Operations Inc,594.0,Indian River Generating Station,DE,4,Conventional Steam Coal,W,445.5,,,,2025 Vulnerable,2029.0,,,Indian River Power LLC,1.0,,,,,,,,
1037,60421,Brandon Shores LLC,602.0,Brandon Shores,MD,1,Conventional Steam Coal,S,685.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1038,60421,Brandon Shores LLC,602.0,Brandon Shores,MD,2,Conventional Steam Coal,S,685.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1109,6455,"Duke Energy Florida, LLC",628.0,Crystal River,FL,1,Conventional Steam Coal,S,440.5,,,107.8315412,,,,,,,,,,,,,,
1110,6455,"Duke Energy Florida, LLC",628.0,Crystal River,FL,2,Conventional Steam Coal,S,523.8,,,,,,,,,,,,,,,,,
1111,6455,"Duke Energy Florida, LLC",628.0,Crystal River,FL,5,Conventional Steam Coal,S,739.2,,,,2025 Vulnerable,,,,,,,,,,,,,
1112,6455,"Duke Energy Florida, LLC",628.0,Crystal River,FL,ST4,Conventional Steam Coal,S,739.2,,,46.85307536,2025 Vulnerable,,,,,,,,,,,,,
1130,7801,Gulf Power Co,641.0,Crist,FL,4,Conventional Steam Coal,S,93.7,,,,,,,,,,,,,,,,,
1131,7801,Gulf Power Co,641.0,Crist,FL,5,Conventional Steam Coal,S,93.7,,,,,,,,,,,,,,,,,
1132,7801,Gulf Power Co,641.0,Crist,FL,6,Conventional Steam Coal,S,369.7,,,,2020 Vulnerable,2027.0,,,,,,,,,,,,
1133,7801,Gulf Power Co,641.0,Crist,FL,7,Conventional Steam Coal,S,578.0,,,,2020 Vulnerable,2027.0,,,,,,,,,,,,
1140,18454,Tampa Electric Co,645.0,Big Bend,FL,ST1,Conventional Steam Coal,S,445.5,,,,Announced,,,,,,,,,,,,,
1141,18454,Tampa Electric Co,645.0,Big Bend,FL,ST2,Conventional Steam Coal,S,445.5,,,,Announced,,,,,,,,,,,,,
1142,18454,Tampa Electric Co,645.0,Big Bend,FL,ST3,Conventional Steam Coal,S,445.5,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
1143,18454,Tampa Electric Co,645.0,Big Bend,FL,ST4,Conventional Steam Coal,S,486.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1147,6909,Gainesville Regional Utilities,663.0,Deerhaven Generating Station,FL,2,Conventional Steam Coal,S,250.7,,,,2020 Vulnerable,2022.0,,,,,,,,,,,,
1166,9617,JEA,667.0,Northside Generating Station,FL,1,Conventional Steam Coal,S,297.5,,,,2025 Vulnerable,,,,,,,,,,,,,
1167,9617,JEA,667.0,Northside Generating Station,FL,2,Conventional Steam Coal,S,297.5,,,,2025 Vulnerable,,,,,,,,,,,,,
1188,10623,City of Lakeland - (FL),676.0,C D McIntosh Jr,FL,3,Conventional Steam Coal,J,363.8,,,,,,,,City of Lakeland - (FL),0.6,Orlando Utilities Comm,0.4,,,,,,
1241,7140,Georgia Power Co,703.0,Bowen,GA,1,Conventional Steam Coal,S,805.8,485994757.8,2043.0,70.24971853,2020 Vulnerable,2023.0,,,,,,,,,,,,
1242,7140,Georgia Power Co,703.0,Bowen,GA,2,Conventional Steam Coal,S,788.8,527330551.8,2043.0,73.28529686,2020 Vulnerable,2023.0,,,,,,,,,,,,
1243,7140,Georgia Power Co,703.0,Bowen,GA,3,Conventional Steam Coal,S,952.0,737252120.2,2045.0,73.53437351,2025 Vulnerable,2028.0,,,,,,,,,,,,
1244,7140,Georgia Power Co,703.0,Bowen,GA,4,Conventional Steam Coal,S,952.0,541473414.2,2050.0,59.48575615,2025 Vulnerable,2028.0,,,,,,,,,,,,
1256,7140,Georgia Power Co,708.0,Hammond,GA,1,Conventional Steam Coal,S,125.0,24096468.62,2040.0,177.4120127,2020 Vulnerable,2020.0,,,,,,,,,,,,
1257,7140,Georgia Power Co,708.0,Hammond,GA,2,Conventional Steam Coal,S,125.0,30254627.57,2036.0,158.5708075,2020 Vulnerable,2020.0,,,,,,,,,,,,
1258,7140,Georgia Power Co,708.0,Hammond,GA,3,Conventional Steam Coal,S,125.0,18573228.47,2041.0,149.880629,2020 Vulnerable,2020.0,,,,,,,,,,,,
1259,7140,Georgia Power Co,708.0,Hammond,GA,4,Conventional Steam Coal,S,578.0,415846539.5,2050.0,147.51495649999998,2020 Vulnerable,2020.0,,,,,,,,,,,,
1341,4538,Crisp County Power Comm,753.0,Crisp Plant,GA,1,Conventional Steam Coal,S,12.5,,,,,,,,,,,,,,,,,
1489,49756,Illinois Power Resources Generating LLC,856.0,E D Edwards,IL,2,Conventional Steam Coal,S,280.5,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
1490,49756,Illinois Power Resources Generating LLC,856.0,E D Edwards,IL,3,Conventional Steam Coal,S,363.8,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
1491,520,Illinois Power Generating Co,861.0,Coffeen,IL,1,Conventional Steam Coal,S,388.9,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
1492,520,Illinois Power Generating Co,861.0,Coffeen,IL,2,Conventional Steam Coal,S,616.5,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
1499,12384,Midwest Generations EME LLC,874.0,Joliet 9,IL,6,Conventional Steam Coal,S,360.4,,,,,,,,,,,,,,,,,
1500,59918,Dynegy Kincaid Generation,876.0,Kincaid Generation LLC,IL,1,Conventional Steam Coal,S,659.5,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
1501,59918,Dynegy Kincaid Generation,876.0,Kincaid Generation LLC,IL,2,Conventional Steam Coal,S,659.5,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
1502,12384,Midwest Generations EME LLC,879.0,Powerton,IL,5,Conventional Steam Coal,S,892.8,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
1503,12384,Midwest Generations EME LLC,879.0,Powerton,IL,6,Conventional Steam Coal,S,892.8,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
1510,12384,Midwest Generations EME LLC,883.0,Waukegan,IL,7,Conventional Steam Coal,S,326.4,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1511,12384,Midwest Generations EME LLC,883.0,Waukegan,IL,8,Conventional Steam Coal,S,355.3,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1512,12384,Midwest Generations EME LLC,884.0,Will County,IL,4,Conventional Steam Coal,S,598.4,,,,2025 Vulnerable,2028.0,,,,,,,,,,,,
1521,5748,Electric Energy Inc,887.0,Joppa Steam,IL,1,Conventional Steam Coal,J,183.3,,,,2020 Vulnerable,2025.0,,,Illinois Power Generating Co,0.8,Kentucky Utilities Co,0.2,,,,,,
1522,5748,Electric Energy Inc,887.0,Joppa Steam,IL,2,Conventional Steam Coal,J,183.3,,,,2020 Vulnerable,2025.0,,,Illinois Power Generating Co,0.8,Kentucky Utilities Co,0.2,,,,,,
1523,5748,Electric Energy Inc,887.0,Joppa Steam,IL,3,Conventional Steam Coal,J,183.3,,,,2020 Vulnerable,2025.0,,,Illinois Power Generating Co,0.8,Kentucky Utilities Co,0.2,,,,,,
1524,5748,Electric Energy Inc,887.0,Joppa Steam,IL,4,Conventional Steam Coal,J,183.3,,,,2020 Vulnerable,2025.0,,,Illinois Power Generating Co,0.8,Kentucky Utilities Co,0.2,,,,,,
1525,5748,Electric Energy Inc,887.0,Joppa Steam,IL,5,Conventional Steam Coal,J,183.3,,,,2020 Vulnerable,2025.0,,,Illinois Power Generating Co,0.8,Kentucky Utilities Co,0.2,,,,,,
1526,5748,Electric Energy Inc,887.0,Joppa Steam,IL,6,Conventional Steam Coal,J,183.3,,,,2020 Vulnerable,2025.0,,,Illinois Power Generating Co,0.8,Kentucky Utilities Co,0.2,,,,,,
1527,5517,Dynegy Midwest Generation Inc,889.0,Baldwin Energy Complex,IL,1,Conventional Steam Coal,S,625.1,,,,Announced,,,,,,,,,,,,,
1528,5517,Dynegy Midwest Generation Inc,889.0,Baldwin Energy Complex,IL,2,Conventional Steam Coal,S,634.5,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
1529,5517,Dynegy Midwest Generation Inc,889.0,Baldwin Energy Complex,IL,3,Conventional Steam Coal,S,634.5,,,,Announced,,,,,,,,,,,,,
1530,5517,Dynegy Midwest Generation Inc,891.0,Havana,IL,6,Conventional Steam Coal,S,488.0,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
1531,5517,Dynegy Midwest Generation Inc,892.0,Hennepin Power Station,IL,1,Conventional Steam Coal,S,75.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1532,5517,Dynegy Midwest Generation Inc,892.0,Hennepin Power Station,IL,2,Conventional Steam Coal,S,231.3,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1685,17828,City of Springfield - (IL),963.0,Dallman,IL,1,Conventional Steam Coal,S,90.2,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1686,17828,City of Springfield - (IL),963.0,Dallman,IL,2,Conventional Steam Coal,S,90.2,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1687,17828,City of Springfield - (IL),963.0,Dallman,IL,3,Conventional Steam Coal,S,207.3,,,,2020 Vulnerable,2028.0,,,,,,,,,,,,
1688,17828,City of Springfield - (IL),963.0,Dallman,IL,4,Conventional Steam Coal,S,230.1,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
1724,17632,Southern Illinois Power Coop,976.0,Marion,IL,1,Conventional Steam Coal,S,33.0,,,,2025 Vulnerable,2025.0,,,,,,,,,,,,
1725,17632,Southern Illinois Power Coop,976.0,Marion,IL,2,Conventional Steam Coal,S,33.0,,,,2025 Vulnerable,2025.0,,,,,,,,,,,,
1726,17632,Southern Illinois Power Coop,976.0,Marion,IL,3,Conventional Steam Coal,S,33.0,,,,2025 Vulnerable,2025.0,,,,,,,,,,,,
1727,17632,Southern Illinois Power Coop,976.0,Marion,IL,4,Conventional Steam Coal,S,173.0,,,,2025 Vulnerable,2025.0,,,,,,,,,,,,
1730,9269,Indiana-Kentucky Electric Corp,983.0,Clifty Creek,IN,1,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
1731,9269,Indiana-Kentucky Electric Corp,983.0,Clifty Creek,IN,2,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
1732,9269,Indiana-Kentucky Electric Corp,983.0,Clifty Creek,IN,3,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
1733,9269,Indiana-Kentucky Electric Corp,983.0,Clifty Creek,IN,4,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
1734,9269,Indiana-Kentucky Electric Corp,983.0,Clifty Creek,IN,5,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
1735,9269,Indiana-Kentucky Electric Corp,983.0,Clifty Creek,IN,6,Conventional Steam Coal,S,217.3,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
1764,9273,Indianapolis Power & Light Co,994.0,AES Petersburg,IN,4,Conventional Steam Coal,S,670.9,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
1768,9273,Indianapolis Power & Light Co,994.0,AES Petersburg,IN,ST1,Conventional Steam Coal,S,281.6,,,,2020 Vulnerable,2023.0,,,,,,,,,,,,
1769,9273,Indianapolis Power & Light Co,994.0,AES Petersburg,IN,ST2,Conventional Steam Coal,S,523.3,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1770,9273,Indianapolis Power & Light Co,994.0,AES Petersburg,IN,ST3,Conventional Steam Coal,S,670.9,,,,2020 Vulnerable,2028.0,,,,,,,,,,,,
1772,13756,Northern Indiana Pub Serv Co,995.0,Bailly,IN,7,Conventional Steam Coal,S,190.4,,,181.8497436,,,,,,,,,,,,,,
1773,13756,Northern Indiana Pub Serv Co,995.0,Bailly,IN,8,Conventional Steam Coal,S,413.1,,,,,,,,,,,,,,,,,
1774,13756,Northern Indiana Pub Serv Co,997.0,Michigan City,IN,12,Conventional Steam Coal,S,540.0,,,72.68017997,,,,,,,,,,,,,,
1782,15470,"Duke Energy Indiana, LLC",1001.0,Cayuga,IN,1,Conventional Steam Coal,S,531.0,,,63.18918521,2020 Vulnerable,2028.0,,,,,,,,,,,,
1783,15470,"Duke Energy Indiana, LLC",1001.0,Cayuga,IN,2,Conventional Steam Coal,S,531.0,,,56.83060742,2020 Vulnerable,2028.0,,,,,,,,,,,,
1791,15470,"Duke Energy Indiana, LLC",1004.0,Edwardsport,IN,CT1,Coal Integrated Gasification Combined Cycle,S,236.5,,,,Other Remaining,,,,,,,,,,,,,
1792,15470,"Duke Energy Indiana, LLC",1004.0,Edwardsport,IN,CT2,Coal Integrated Gasification Combined Cycle,S,236.5,,,,Other Remaining,,,,,,,,,,,,,
1793,15470,"Duke Energy Indiana, LLC",1004.0,Edwardsport,IN,ST,Coal Integrated Gasification Combined Cycle,S,331.5,,,139.0560941,Other Remaining,,,,,,,,,,,,,
1807,15470,"Duke Energy Indiana, LLC",1008.0,R Gallagher,IN,2,Conventional Steam Coal,S,150.0,,,164.8104507,,,,,,,,,,,,,,
1808,15470,"Duke Energy Indiana, LLC",1008.0,R Gallagher,IN,4,Conventional Steam Coal,S,150.0,,,224.73437850000002,,,,,,,,,,,,,,
1811,17633,Southern Indiana Gas & Elec Co,1012.0,F B Culley,IN,2,Conventional Steam Coal,S,103.7,,,,,,,,,,,,,,,,,
1812,17633,Southern Indiana Gas & Elec Co,1012.0,F B Culley,IN,3,Conventional Steam Coal,S,265.2,,,,2025 Vulnerable,,,,,,,,,,,,,
1826,59774,Crawfordsville Energy LLC,1024.0,Crawfordsville Power Plant,IN,4,Conventional Steam Coal,S,11.5,,,,,,,,,,,,,,,,,
1827,59774,Crawfordsville Energy LLC,1024.0,Crawfordsville Power Plant,IN,5,Conventional Steam Coal,S,12.6,,,,,,,,,,,,,,,,,
1836,15989,City of Richmond - (IN),1040.0,Whitewater Valley,IN,1,Conventional Steam Coal,S,33.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1837,15989,City of Richmond - (IN),1040.0,Whitewater Valley,IN,2,Conventional Steam Coal,S,60.9,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
1838,9417,Interstate Power and Light Co,1047.0,Lansing,IA,4,Conventional Steam Coal,S,274.5,,,95.36222922,2020 Vulnerable,2024.0,,,,,,,,,,,,
1846,9417,Interstate Power and Light Co,1073.0,Prairie Creek,IA,1,Conventional Steam Coal,S,14.6,,,227.53661969999996,Announced,,,,,,,,,,,,,
1847,9417,Interstate Power and Light Co,1073.0,Prairie Creek,IA,3,Conventional Steam Coal,S,50.0,,,,Announced,,,,,,,,,,,,,
1848,9417,Interstate Power and Light Co,1073.0,Prairie Creek,IA,4,Conventional Steam Coal,S,148.8,,,462.81337249999996,,,,,,,,,,,,,,
1854,12341,MidAmerican Energy Co,1082.0,Walter Scott Jr Energy Center,IA,3,Conventional Steam Coal,J,725.8,,,30.3628398,2020 Vulnerable,2030.0,,,Central Iowa Power Cooperative,0.115,MidAmerican Energy Co,0.791,,,,,,
1855,12341,MidAmerican Energy Co,1082.0,Walter Scott Jr Energy Center,IA,4,Conventional Steam Coal,J,922.5,,,45.63694232,Other Remaining,,,,Lincoln Electric System,0.1266,MidAmerican Energy Co,0.5966,,,,,,
1864,12341,MidAmerican Energy Co,1091.0,George Neal North,IA,3,Conventional Steam Coal,J,584.1,,,53.238204599999996,2020 Vulnerable,2025.0,,,"IES Utilities, Inc",0.28,MidAmerican Energy Co,0.72,,,,,,
1867,9417,Interstate Power and Light Co,1104.0,Burlington (IA),IA,1,Conventional Steam Coal,S,212.0,,,,Announced,,,,,,,,,,,,,
1922,3203,Cedar Falls Utilities,1131.0,Streeter Station,IA,6,Conventional Steam Coal,S,16.5,,,,Other Remaining,,,,,,,,,,,,,
2028,13143,Board of Water Electric & Communications,1167.0,Muscatine Plant #1,IA,7,Conventional Steam Coal,S,25.0,,,,2025 Vulnerable,2025.0,,,,,,,,,,,,
2029,13143,Board of Water Electric & Communications,1167.0,Muscatine Plant #1,IA,8,Conventional Steam Coal,S,75.0,,,,2025 Vulnerable,2025.0,,,,,,,,,,,,
2030,13143,Board of Water Electric & Communications,1167.0,Muscatine Plant #1,IA,8A,Conventional Steam Coal,S,18.0,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
2031,13143,Board of Water Electric & Communications,1167.0,Muscatine Plant #1,IA,9,Conventional Steam Coal,S,175.5,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
2137,10000,Kansas City Power & Light Co,1241.0,La Cygne,KS,1,Conventional Steam Coal,J,893.0,,,,Other Remaining,,,,Kansas City Power & Light Co,0.5,Kansas Gas & Electric Co,0.5,,,,,,
2138,10000,Kansas City Power & Light Co,1241.0,La Cygne,KS,2,Conventional Steam Coal,J,685.0,,,,Other Remaining,,,-2.0,Kansas City Power & Light Co,0.5,Kansas Gas & Electric Co,0.5,,,,,,
2146,22500,Westar Energy Inc,1250.0,Lawrence Energy Center,KS,4,Conventional Steam Coal,S,114.0,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
2147,22500,Westar Energy Inc,1250.0,Lawrence Energy Center,KS,5,Conventional Steam Coal,S,403.0,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
2148,22500,Westar Energy Inc,1252.0,Tecumseh Energy Center,KS,7,Conventional Steam Coal,S,82.0,,,,,,,-42.0,,,,,,,,,,
2405,10171,Kentucky Utilities Co,1355.0,E W Brown,KY,1,Conventional Steam Coal,S,113.6,,,,Announced,,,,,,,,,,,,,
2408,10171,Kentucky Utilities Co,1355.0,E W Brown,KY,2,Conventional Steam Coal,S,179.5,,,,Announced,,,,,,,,,,,,,
2409,10171,Kentucky Utilities Co,1355.0,E W Brown,KY,3,Conventional Steam Coal,S,464.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
2416,10171,Kentucky Utilities Co,1356.0,Ghent,KY,1,Conventional Steam Coal,S,556.9,,,,Other Remaining,,,,,,,,,,,,,
2417,10171,Kentucky Utilities Co,1356.0,Ghent,KY,2,Conventional Steam Coal,S,556.3,,,,Other Remaining,,,,,,,,,,,,,
